run_id,design_id,variant,seed,batch_size,d_model,depth,lr,d_ff,max_len,n_heads,linformer_k,linformer_sharing,attn_dropout,dropout,sparse_pattern,sparse_stride,compute_dtype,epochs,task
d002_linear_s1,2,linear,1,16,256,6,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d002_linear_s2,2,linear,2,16,256,6,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d002_sparse_s0,2,sparse,0,16,256,6,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d002_sparse_s1,2,sparse,1,16,256,6,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d002_sparse_s2,2,sparse,2,16,256,6,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_vanilla_s0,3,vanilla,0,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_vanilla_s1,3,vanilla,1,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_vanilla_s2,3,vanilla,2,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_flash_s0,3,flash,0,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_flash_s1,3,flash,1,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_flash_s2,3,flash,2,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_linformer_s0,3,linformer,0,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_linformer_s1,3,linformer,1,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_linformer_s2,3,linformer,2,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_linear_s0,3,linear,0,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_linear_s1,3,linear,1,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_linear_s2,3,linear,2,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_sparse_s0,3,sparse,0,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_sparse_s1,3,sparse,1,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d003_sparse_s2,3,sparse,2,16,256,6,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_vanilla_s0,4,vanilla,0,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_vanilla_s1,4,vanilla,1,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_vanilla_s2,4,vanilla,2,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_flash_s0,4,flash,0,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_flash_s1,4,flash,1,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_flash_s2,4,flash,2,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_linformer_s0,4,linformer,0,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_linformer_s1,4,linformer,1,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_linformer_s2,4,linformer,2,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_linear_s0,4,linear,0,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_linear_s1,4,linear,1,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_linear_s2,4,linear,2,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_sparse_s0,4,sparse,0,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_sparse_s1,4,sparse,1,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d004_sparse_s2,4,sparse,2,16,384,4,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_vanilla_s0,5,vanilla,0,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_vanilla_s1,5,vanilla,1,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_vanilla_s2,5,vanilla,2,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_flash_s0,5,flash,0,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_flash_s1,5,flash,1,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_flash_s2,5,flash,2,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_linformer_s0,5,linformer,0,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_linformer_s1,5,linformer,1,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_linformer_s2,5,linformer,2,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_linear_s0,5,linear,0,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_linear_s1,5,linear,1,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_linear_s2,5,linear,2,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_sparse_s0,5,sparse,0,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_sparse_s1,5,sparse,1,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d005_sparse_s2,5,sparse,2,16,384,4,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_vanilla_s0,6,vanilla,0,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_vanilla_s1,6,vanilla,1,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_vanilla_s2,6,vanilla,2,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_flash_s0,6,flash,0,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_flash_s1,6,flash,1,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_flash_s2,6,flash,2,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_linformer_s0,6,linformer,0,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_linformer_s1,6,linformer,1,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_linformer_s2,6,linformer,2,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_linear_s0,6,linear,0,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_linear_s1,6,linear,1,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_linear_s2,6,linear,2,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_sparse_s0,6,sparse,0,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_sparse_s1,6,sparse,1,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d006_sparse_s2,6,sparse,2,16,384,6,0.0003,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_vanilla_s0,7,vanilla,0,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_vanilla_s1,7,vanilla,1,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_vanilla_s2,7,vanilla,2,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_flash_s0,7,flash,0,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_flash_s1,7,flash,1,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_flash_s2,7,flash,2,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_linformer_s0,7,linformer,0,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_linformer_s1,7,linformer,1,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_linformer_s2,7,linformer,2,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_linear_s0,7,linear,0,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_linear_s1,7,linear,1,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_linear_s2,7,linear,2,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_sparse_s0,7,sparse,0,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_sparse_s1,7,sparse,1,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d007_sparse_s2,7,sparse,2,16,384,6,0.001,1536,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
